tempo,onset_mean,onset_var,onset_max,autocorr_mean,autocorr_var,autocorr_max,pulse_mean,pulse_var,mfcc1_mean,mfcc2_mean,mfcc3_mean,mfcc4_mean,mfcc5_mean,mfcc1_std,mfcc2_std,mfcc3_std,mfcc4_std,mfcc5_std,label,filename
92.28515625,1.6325159,2.6748252,9.563417,1151.3317,580485.7,4603.0225,0.23704933,0.09196134,81.535965,9.027307,19.972343,17.517378,0.41566882,25.982037,15.890683,15.80489,11.228472,12.612089,teentaal,"Chedkhaniyaan - Bandish Bandits ｜Shankar-Ehsaan-Loy,Shivam Mahadevan,Pratibha Baghel_007.wav"
92.28515625,1.8789637,4.9191756,14.55881,1525.8724,1.2758188e+06,7283.624,0.2239069,0.086225994,56.426697,-1.5613399,4.362241,4.847297,-8.564087,42.356403,26.144728,25.040714,21.883442,19.263885,teentaal,"Chedkhaniyaan - Bandish Bandits ｜Shankar-Ehsaan-Loy,Shivam Mahadevan,Pratibha Baghel_008.wav"
92.28515625,1.6109676,2.8256083,10.281331,1121.2485,570190.0,4672.7505,0.27562398,0.1170554,86.89302,5.25488,10.98111,16.948723,3.5895321,21.609962,16.182924,17.939907,12.447822,11.762189,teentaal,"Chedkhaniyaan - Bandish Bandits ｜Shankar-Ehsaan-Loy,Shivam Mahadevan,Pratibha Baghel_009.wav"
107.666015625,1.5150021,2.1341567,8.658087,991.4596,366240.53,3818.133,0.19800164,0.069600835,95.626945,1.0896239,32.041103,3.2592835,13.650187,29.623316,19.17292,21.142176,23.059473,16.805264,teentaal,"Couple Goals (8D-Audio) ｜｜ Bandish Bandits ｜｜ Armaan Malik, Jonita Gandhi ｜｜ Shankar Ehsaan Loy ｜｜_001.wav"
143.5546875,1.6620476,4.241826,13.4921665,1194.0975,691135.25,6037.6445,0.27766946,0.11608987,96.09953,9.7051735,27.889423,16.813803,15.1130705,24.44773,15.949449,15.7571335,14.741101,16.97294,teentaal,"Couple Goals (8D-Audio) ｜｜ Bandish Bandits ｜｜ Armaan Malik, Jonita Gandhi ｜｜ Shankar Ehsaan Loy ｜｜_002.wav"
107.666015625,1.7120347,3.621211,11.306412,1266.5642,696581.44,5648.06,0.21752429,0.07767415,110.60997,13.643182,25.119684,10.108877,10.985944,25.58737,23.713823,16.20043,18.720682,15.524193,teentaal,"Couple Goals (8D-Audio) ｜｜ Bandish Bandits ｜｜ Armaan Malik, Jonita Gandhi ｜｜ Shankar Ehsaan Loy ｜｜_003.wav"
107.666015625,1.7563758,4.0499005,12.681256,1333.1404,935045.5,6150.1597,0.25879344,0.10391701,104.74786,10.38312,24.302706,15.138112,13.720041,22.383177,19.06218,14.729495,14.747885,15.146877,teentaal,"Couple Goals (8D-Audio) ｜｜ Bandish Bandits ｜｜ Armaan Malik, Jonita Gandhi ｜｜ Shankar Ehsaan Loy ｜｜_004.wav"
143.5546875,1.5748976,2.3358202,9.671955,1071.4186,445507.78,4151.4985,0.2667538,0.10932041,94.28931,14.55546,24.925682,14.419833,8.037425,23.28044,18.744514,17.945896,16.59906,17.187784,teentaal,"Couple Goals (8D-Audio) ｜｜ Bandish Bandits ｜｜ Armaan Malik, Jonita Gandhi ｜｜ Shankar Ehsaan Loy ｜｜_005.wav"
107.666015625,1.7941489,4.2226815,11.951289,1391.0972,900093.2,6414.704,0.2044792,0.07379311,113.618065,8.679194,21.127018,8.958404,8.878025,25.641495,20.501488,16.756006,16.794512,16.923384,teentaal,"Couple Goals (8D-Audio) ｜｜ Bandish Bandits ｜｜ Armaan Malik, Jonita Gandhi ｜｜ Shankar Ehsaan Loy ｜｜_006.wav"
107.666015625,1.7520231,3.4153552,10.492454,1326.2338,909885.75,5590.018,0.25797722,0.103743374,105.81794,5.4494987,21.354939,11.675771,10.476287,19.92957,19.117317,15.042464,16.702885,15.09904,teentaal,"Couple Goals (8D-Audio) ｜｜ Bandish Bandits ｜｜ Armaan Malik, Jonita Gandhi ｜｜ Shankar Ehsaan Loy ｜｜_007.wav"
